Question,Option A,Option B,Option C,Option D,Answer
"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None of the above,A
Entomology is the science that studies,Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,B
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Asia,Africa,Europe,Australia,B
Garampani sanctuary is located at,"Junagarh, Gujarat","Diphu, Assam","Kohima, Nagaland","Gangtok, Sikkim",B
For which of the following disciplines is Nobel Prize awarded?,Physics and Chemistry,Physiology or Medicine,"Literature, Peace and Economics",All of the above,D
Hitler party which came into power in 1933 is known as,Labour Party,Nazi Party,Ku-Klux-Klan,Democratic Party,B
FFC stands for,Foreign Finance Corporation,Film Finance Corporation,Federation of Football Council,None of the above,B
Fastest shorthand writer was,Dr,J,J,Khudada Khan,A
Epsom (England) is the place associated with,Horse racing,Polo,Shooting,Snooker,A
"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in",1967,1968,1958,1922,A
Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,D
Habeas Corpus Act 1679,states that no one was to be imprisoned without a writ or warrant stating the charge against him,provided facilities to a prisoner to obtain either speedy trial or release in bail,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,D
Exposure to sunlight helps a person improve his health because,the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,D
Golf player Vijay Singh belongs to which country?,USA,Fiji,India,UK,B
"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",Letter of Credit (L/C),laissezfaire,inflation,None of the above,A
First Afghan War took place in,1839,1843,1833,1848,A
Gulf cooperation council was originally formed by,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",Second World Nations,Third World Nations,Fourth World Nations,A
First China War was fought between,China and Britain,China and France,China and Egypt,China and Greek,A
Dumping is,selling of goods abroad at a price well below the production cost at the home market price,"the process by which the supply of a manufacture's product remains low in the domestic market, which batches him better price",prohibited by regulations of GATT,All of the above,D
"For the Olympics and World Tournaments, the dimensions of basketball court are",26 m x 14 m,28 m x 15 m,27 m x 16 m,28 m x 16 m,B
"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",Tennis,Volleyball,Basketball,Cricket,B
Each year World Red Cross and Red Crescent Day is celebrated on,May 8,May 18,June 8,June 18,A
Famous sculptures depicting art of love built some time in 950 AD â€“ 1050 AD are,Khajuraho temples,Jama Masjid,Sun temple,Mahabalipuram temples,A
Gravity setting chambers are used in industries to remove,SOx,NOx,suspended particulate matter,CO,C
Guwahati High Court is the judicature of,Nagaland,Arunachal Pradesh,Assam,All of the above,D
Friction can be reduced by changing from,sliding to rolling,rolling to sliding,potential energy to kinetic energy,dynamic to static,A
During eleventh Antarctic Expedition in Nov. 1991/March 1992 ____ was installed.,SODAR (SOnic Detection And Ranging),Second Permanent Station 'Maitree',First permanent station 'Dakshin Gangotri',None of the above,A
"From the following, choose the set in which names of Secretary-Generals of the UNO are arranged in correct chronological order?","U Thant, Kurt Waldheim, Dag Hammarskjoeld, Trygve Lie","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim","Trygve Lie, U Thant , Dag Hammarskjoeld, Kurt Waldheim","U Thant, Dag Hammarskjoeld, Trygve Lie, Kurt Waldheim",B
Fire temple is the place of worship of which of the following religion?,Taoism,Judaism,Zoroastrianism (Parsi Religion),Shintoism,C
Film and TV institute of India is located at,Pune (Maharashtra),Rajkot (Gujarat),Pimpri (Maharashtra),Perambur (Tamilnadu),A
"Georgia, Uzbekistan and Turkmenistan became the members of UNO in",1991,1992,1993,1994,B
Guru Gobind Singh was,the 10th Guru of the Sikhs,"founder of Khalsa, the inner council of the Sikhs in 1699",author of Dasam Granth,All the above,D
Hermann Scheer (Germany) received right Livelihood Award in 1999 for,his indefatigable work for thepromotion of solar energy worldwide,his long standing efforts to end the impunity of dictators,showing that organic agriculture is a key to both environmental sustainability and food security,None of the above,A
Germany signed the Armistice Treaty on ____ and World War I ended,"January 19, 1918","May 30, 1918","November 11, 1918","February 15, 1918",C
"During World War II, when did Germany attack France?",1940,1941,1942,1943,A
Frederick Sanger is a twice recipient of the Nobel Prize for,Chemistry in 1958 and 1980,Physics in 1956 and 1972,Chemistry in 1954 and Peace in 1962,Physics in 1903 and Chemistry in 1911,A
The ozone layer restricts,Visible light,Infrared radiation,X-rays and gamma rays,Ultraviolet radiation,D
Eugenics is the study of,altering human beings by changing their genetic components,people of European origin,different races of mankind,genetic of plants,A
Euclid was,Greek mathematician,Contributor to the use of deductive principles of logic as the basis of geometry,Propounded the geometrical theorems,All of the above,D
Ecology deals with,Birds,Cell formation,Relation between organisms and their environment,Tissues,C
Filaria is caused by,Bacteria,Mosquito,Protozoa,Virus,B
Goa Shipyard Limited (GSL) was established in,1958,1957,1956,1955,B
DRDL stands for,Defence Research and Development Laboratary,Department of Research and Development Laboratory,Differential Research and Documentation Laboratary,None of the above,A
Who was the first Indian Chief of Army Staff of the Indian Army ?,Gen,Vice-Admiral R,Gen,None of the above,A
FRS stands for,Fellow Research System,Federation of Regulation Society,Fellow of Royal Society,None of the above,C
Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the,Earth's gravitational pull,Moon's gravitational pull,Centripetal force due to the earth's rotation,Pressure of the atmosphere,A
GATT (General Agreement on Tariffs and Trade) is,international agreement signed in 1947 between non-communist nations with the object of encouraging international trade unobstructed by tariff barriers,agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concessions between members,Both option A and B,None of the above,C
Coral reefs in India can be found in,the coast of Orissa,Waltair,Rameshwaram,Trivandrum,C
"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having",low melting point,high resistance,high melting point,low specific heat,A
"Golden Temple, Amritsar is India's",largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above,A
During World War I Germany was defeated in the Battle of Verdun on the western front and Romania declared war on the eastern front in the year,1914 AD,1915 AD,1916 AD,1917 AD,C
Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of,Orissa,Tamil nadu,Andhra Pradesh,Kerala,A
Hamid Karzai was chosen president of Afghanistan in,2000,2001,2002,2003,C
Durand Cup is associated with the game of,Cricket,Football,Hockey,Volleyball,B
Question,Option A,Option B,Option C,Option D,Answer
Himalayan Mountaineering Institute is at,Darjeeling,Dehradun,Marmago,Dispur,A
Gabriel Daniel Fahrenheit was,a German Physicist,developed the mercury thermometer in 1714,devised temperature scale,All of the above,D
"During the first crusade, crusaders reached Jerusalem and captured it in",1000 AD,1099 AD,1200 AD,1515 AD,B
Dr. Linus Carl Pauling is the only person to have won two Nobel prizes individually for,"Chemistry in 1954, Peace Prize in 1962","Peace Prize in 1954, Chemistry in 1962","Physics in 1954, Medicine in 1962","Medicine in 1954, Physics in 1962",A
Free market is,a condition in the international market where nations do not impose customs duty or other taxes on import of goods,market where the price of a commodity is determined by free play of the forces of supply and demand,"ports that are exempted from payment of customs duty on articles of commerce, primarily to encourage tourism",None of the above,B
"East Timor, which became the 191st member of the UN, is in the continent of",Asia,Africa,Europe,South America,A
Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the,force of adhesion,force of friction,centrifugal force,force of cohesion,D
Gopal Krishna Gokhale,"started as a maths teacher and rose to the position of the principal of Ferguson College, Pune",founded the servants of India Society,served as President of the Indian National Congress in 1905,All of the above,D
GNLF stands for,Gorkha National Liberation Front,Gross National Liberation Form,Both option A and B,None of the above,A
Excessive secretion from the pituitary gland in the children results in,increased height,retarded growth,weakening of bones,None of the above,A
Fa-Hien was,the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya,the discoverer of Puerto Rico and Jamaica,the first Buddhist pilgrim of India to visit China,None of the above,A
Question,Option A,Option B,Option C,Option D,Answer
In which year of First World War Germany declared war on Russia and France?,1914,1915,1916,1917,A
ICAO stands for,International Civil Aviation Organization,Indian Corporation of Agriculture Organization,Institute of Company of Accounts Organization,None of the above,A
India's first Technicolor film ____ in the early 1950s was produced by ____,"'Jhansi Ki Rani', Sohrab Modi","'Jhansi Ki Rani', Sir Syed Ahmed","'Mirza Ghalib', Sohrab Modi","'Mirza Ghalib', Munshi Premchand",A
India has largest deposits of ____ in the world.,gold,copper,mica,None of the above,C
How many Lok Sabha seats belong to Rajasthan?,32,25,30,17,B
India's first satellite is named after,Aryabhatta,Bhaskara II,Bhaskara I,Albert Einstein,A
India's first atomic reactor was,Zerlina,Dhruva,Apsara,Kamini,C
"In which year, terrorists crash two planes into New York's World Trade Centre on September 11 in a sequence of destruction?",2000,2001,2002,2003,B
India's first ocean wave's energy project was launched in,1981,1991,1995,2000,B
"In which of the following years, the membership of the Security Council was increased from 11 to 15 (under Article 23)?",1960,1965,1972,1975,B
India's tallest stone statue of the Jain sage Gomateswara is at,"Mysore, Karnakata",New Delhi,"Sravanabelagola, Karnataka","Mandu, Madhya Pradesh",C
"In 1945, fifty nations met to phrase the basic charter for a world organization which would ""save succeeding generations from the scourge of war"". This conference took place at",Dumbarton Oaks,London,San Francisco,Yalta,C
"In a normal human body, the total number of red blood cells is",15 trillion,20 trillion,25 trillion,30 trillion,D
INS Venduruthy is located at,Kochi,Lonavla,Jamnagar,Mumbai,A
In which season do we need more fat?,Rainy season,Spring,Winter,Summer,C
How much districts are there in Punjab?,13,17,22,15,C
India participated in Olympics Hockey in,1918,1928,1938,1948,B
"If force is expressed in Newton and the distance in metre, then the work done is expressed in",Joule,Kg wt,Kg wt m,Watt,A
How many teeth does a normal adult dog have?,32,34,38,42,D
How many red blood cells does the bone marrow produce every second?,2 million,5 million,7 million,10 million,A
How many times has Brazil won the World Cup Football Championship?,Four times,Twice,Five times,Once,C
"If speed of rotation of the earth increases, weight of the body",increases,remains unchanged,decreases,may decrease or increase,C
"In August, 1996 at Kolar(near Bangalore), India made successful test flights of Unmanned Air Vehicle (UAV) named",Arjun,Nishant,Vijayanta,Lakshya,B
IDA stands for,Indian Development Agency,International Development Agency,Industrial Development Analyses,None of the above,B
Indira Gandhi was assassinated in,1974,1984,1994,2004,B
India's first nuclear blast at Pokhran in Rajasthan took place in,1984,1974,1964,1954,B
How many players are there on each side in the game of Basketball?,4,5,6,7,B
"In a normal human being, how much time does food take to reach the end of the intestine for complete absorption?",About 8 hours,About 12 hours,About 16 hours,About 18 hours,B
In certain diseases antibiotics are administered. The object is,stimulate production of white blood cells for fighting the disease,stimulate production of antibodies,inhibit the growth of bacteria,produce toxins against bacteria,C
"In cricket, the two sets of wickets are",18 yards apart,20 yards apart,22 yards apart,24 yards apart,C
India's first indigenous helicopter was successfully flown in Bangalore on,"August 30, 1992","August 30, 1982","August 30, 1990",None of the above,A
In which of the followings places was the last Winter Olympics Games held?,Albertville,Lillehammer,"Sochi, Russia",Salt Lake City (USA),C
Hundred year war was fought between,France and England,Greek and Persian forces,Civil war in England,None of the above,A
"In which of the following pairs, the two substances forming the pair are chemically most dissimilar?",Sugar and paper,Butter and paraffin wax,Chalk and marble,Charcoal and diamond,B
India's Integrated Missiles Development Programme was started in ____ under the chairmanship of Dr. A.P.J. Abdul Kalam.,1979-80,1980-81,1981-82,1982-83,D
INS Agrani (Petty Officers' School) is situated at,Mumbai,Jamnagar,Coimbatore,Lonavla,C
Hybridization is,downward movement of water through soil,a process of tilling the land,decayed vegetable matter,cross-fertilization between two varieties,D
"In which world cup cricket final, Australia beat England?","1983, Lord's - England","1987, Kolkata - India","1992, Melbourne - Australia","1996, Lahore - Pakistan",B
India is the ____ grower of pulses.,largest,smallest,appropriate for national need,None of the above,A
"In cricket, a run taken when the ball passes the batsman without touching his bat or body is called",leg bye,bye,bosie,drive,B
How many non-permanent Security Council (UNO) members are from Afro-Asian countries?,5,15,2,1,A
"Indira Gandhi Centre for Atomic Research, established in 1971, is located at",Indore,"Trombay, Maharashtra","Kalpakkam, Chennai",Kolkata,C
In which year did Sir Edmund Hillary reach the summit of Mount Everest?,1952,1953,1954,1955,B
HP stands for,Harmonic Progression,Horse Power,both (a) and (b),None of the above,C
India's first fast breeder neutron reactor was,Zerlina,Apsara,Purnima-I,Kamini,D
